seed,iters,task,num_envs,app_launch_ms,total_start_ms,mean_total_fps,mean_collection_fps,max_rewards,wall_clock_s
42,100,Isaac-Velocity-Rough-G1-v0,4096,6436.168435,25888.486065,71579.3,77025.97218681306,-0.6611278653144836,169
123,100,Isaac-Velocity-Rough-G1-v0,4096,6484.425579,29012.828017,71878.1,77366.30728724913,-0.5797159075737,171
456,100,Isaac-Velocity-Rough-G1-v0,4096,6456.298877,28598.237082,71959.82,77414.29894457913,-0.6221880912780762,171
789,100,Isaac-Velocity-Rough-G1-v0,4096,6406.663925,29320.059412,72317.87,77830.43348787326,-0.6882494688034058,170
1337,100,Isaac-Velocity-Rough-G1-v0,4096,6432.834671,28726.276812,71703.47,77169.19382697859,-0.6842271685600281,171
